track_or_instrument,instrument_name,is_drum,pitch,velocity,start,end,duration
0,,False,60,85,0.004167,0.008333,0.004167
0,,False,63,80,0.014583,0.523958,0.509375
0,,False,60,75,0.147917,0.65625,0.508333
0,,False,58,85,1.016667,1.020833,0.004167
0,,False,60,80,1.027083,3.048958,2.021875
0,,False,65,75,1.538542,3.808333,2.269792
0,,False,63,70,3.247917,4.060417,0.8125
0,,False,60,75,3.872917,4.314583,0.441667
0,,False,58,75,5.052083,5.560417,0.508333
0,,False,56,75,5.185417,6.039583,0.854167
0,,False,60,85,5.686458,6.551042,0.864583
0,,False,67,80,8.058333,8.066667,0.008333
0,,False,65,80,8.0625,8.075,0.0125
0,,False,63,85,8.070833,8.083333,0.0125
0,,False,62,80,8.079167,8.091667,0.0125
0,,False,60,75,8.0875,8.1,0.0125
0,,False,58,85,8.095833,9.102083,1.00625
0,,False,63,80,8.352083,9.858333,1.50625
0,,False,60,70,9.297917,10.110417,0.8125
0,,False,58,75,9.922917,10.616667,0.69375
0,,False,56,75,10.24375,11.10625,0.8625
0,,False,60,85,10.740625,12.116667,1.376042
1,,False,63,60,0.005208,0.009375,0.004167
1,,False,67,55,0.00625,0.010417,0.004167
1,,False,67,55,0.017708,0.528125,0.510417
1,,False,67,45,0.395833,0.528125,0.132292
1,,False,70,50,0.020833,0.532292,0.511458
1,,False,63,50,0.271875,0.776042,0.504167
1,,False,62,60,1.017708,1.021875,0.004167
1,,False,65,55,1.01875,1.022917,0.004167
1,,False,63,55,1.030208,3.053125,2.022917
1,,False,67,50,1.033333,3.057292,2.023958
1,,False,68,50,2.040625,3.809375,1.76875
1,,False,72,45,2.542708,3.810417,1.267708
1,,False,67,45,3.434375,4.063542,0.629167
1,,False,67,45,3.995833,4.063542,0.067708
1,,False,70,40,3.620833,4.066667,0.445833
1,,False,63,50,3.934375,4.559375,0.625
1,,False,62,50,5.055208,5.563542,0.508333
1,,False,65,45,5.058333,5.566667,0.508333
1,,False,60,50,5.309375,6.042708,0.733333
1,,False,63,45,5.433333,6.045833,0.6125
1,,False,63,60,5.803125,6.045833,0.242708
1,,False,67,55,5.919792,7.555208,1.635417
1,,False,70,55,8.059375,8.067708,0.008333
1,,False,74,50,8.060417,8.06875,0.008333
1,,False,68,55,8.063542,8.076042,0.0125
1,,False,72,50,8.064583,8.077083,0.0125
1,,False,67,60,8.071875,8.084375,0.0125
1,,False,70,55,8.072917,8.085417,0.0125
1,,False,65,55,8.080208,8.092708,0.0125
1,,False,69,50,8.08125,8.09375,0.0125
1,,False,63,50,8.088542,8.101042,0.0125
1,,False,67,45,8.089583,8.102083,0.0125
1,,False,62,60,8.096875,9.105208,1.008333
1,,False,65,55,8.097917,9.108333,1.010417
1,,False,67,55,8.601042,9.859375,1.258333
1,,False,67,40,9.670833,9.859375,0.188542
1,,False,70,50,8.85,9.860417,1.010417
1,,False,63,45,9.484375,10.113542,0.629167
1,,False,62,50,9.984375,10.617708,0.633333
1,,False,65,45,10.045833,10.61875,0.572917
1,,False,60,50,10.367708,11.109375,0.741667
1,,False,63,45,10.491667,11.1125,0.620833
1,,False,63,60,10.861458,11.1125,0.251042
1,,False,67,55,10.982292,14.11875,3.136458
2,,False,48,70,0.007292,0.011458,0.004167
2,,False,51,65,0.023958,0.536458,0.5125
2,,False,48,60,0.519792,1.015625,0.495833
2,,False,46,70,1.019792,1.023958,0.004167
2,,False,48,65,1.036458,3.061458,2.025
2,,False,53,60,3.044792,3.811458,0.766667
2,,False,51,55,3.807292,4.069792,0.2625
2,,False,48,60,4.057292,5.048958,0.991667
2,,False,46,60,5.061458,5.569792,0.508333
2,,False,44,60,5.557292,6.048958,0.491667
2,,False,48,70,6.036458,8.057292,2.020833
2,,False,55,65,8.061458,8.069792,0.008333
2,,False,53,65,8.065625,8.078125,0.0125
2,,False,51,70,8.073958,8.086458,0.0125
2,,False,50,65,8.082292,8.094792,0.0125
2,,False,48,60,8.090625,8.103125,0.0125
2,,False,46,70,8.098958,9.111458,1.0125
2,,False,51,65,9.098958,9.861458,0.7625
2,,False,48,55,9.857292,10.119792,0.2625
2,,False,46,60,10.107292,10.619792,0.5125
2,,False,44,60,10.615625,11.115625,0.5
2,,False,48,70,11.103125,15.119792,4.016667
